OID,Latitude (N),Longitude (E),Blended LRO/LOLA and SELENE/Kaguya DEM
1,19.9697265625,218.5576171875,4617.5
2,19.9697265625,218.5595703125,4614.0
3,19.9697265625,218.56152343749997,4610.0
4,19.9697265625,218.5634765625,4605.0
5,19.9697265625,218.5654296875,4596.0
6,19.9697265625,218.5673828125,4590.0
7,19.9697265625,218.5693359375,4587.5
8,19.9697265625,218.57128906250003,4583.5
9,19.9697265625,218.5732421875,4577.0
10,19.969726562500004,218.5751953125,4571.0
11,19.969726562500004,218.5771484375,4562.5
12,19.969726562500004,218.5791015625,4555.5
13,19.9697265625,218.5810546875,4547.5
14,19.9697265625,218.5830078125,4547.0
15,19.969726562500004,218.5849609375,4535.5
16,19.969726562500004,218.5869140625,4529.0
17,19.969726562500004,218.5888671875,4519.5
18,19.9697265625,218.5908203125,4509.5
19,19.969726562500004,218.59277343749997,4501.0
20,19.969726562500004,218.5947265625,4485.5
21,19.969726562500004,218.59667968750003,4467.0
22,19.9697265625,218.5986328125,4445.5
23,19.9697265625,218.6005859375,4439.0
24,19.969726562500004,218.60253906250003,4427.5
25,19.969726562500004,218.6044921875,4418.5
26,19.9697265625,218.60644531250003,4410.5
27,19.9697265625,218.6083984375,4400.5
28,19.969726562500004,218.6103515625,4389.0
29,19.9697265625,218.6123046875,4380.0
30,19.969726562500004,218.6142578125,4373.0
31,19.969726562500004,218.6162109375,4363.5
32,19.969726562500004,218.6181640625,4354.5
33,19.969726562500004,218.6201171875,4347.0
34,19.9697265625,218.6220703125,4342.0
35,19.969726562500004,218.6240234375,4338.5
36,19.9697265625,218.6259765625,4334.0
37,19.9697265625,218.62792968750003,4330.0
38,19.9697265625,218.6298828125,4326.5
39,19.969726562500004,218.6318359375,4321.0
40,19.969726562500004,218.63378906250003,4319.5
41,19.969726562500004,218.6357421875,4322.5
42,19.9697265625,218.63769531249997,4322.5
43,19.9697265625,218.6396484375,4321.0
44,19.969726562500004,218.6416015625,4324.5
45,19.969726562500004,218.6435546875,4326.0
46,19.969726562500004,218.6455078125,4323.5
47,19.9697265625,218.6474609375,4322.0
48,19.9697265625,218.6494140625,4320.0
49,19.9697265625,218.65136718750003,4320.0
50,19.9697265625,218.6533203125,4323.5
51,19.969726562500004,218.6552734375,4325.5
52,19.9697265625,218.6572265625,4325.0
53,19.9697265625,218.6591796875,4325.5
54,19.969726562500004,218.6611328125,4324.5
55,19.9697265625,218.6630859375,4323.5
56,19.9697265625,218.6650390625,4321.5
57,19.9697265625,218.6669921875,4319.5
58,19.969726562500004,218.6689453125,4322.0
59,19.9697265625,218.6708984375,4322.5
60,19.969726562500004,218.67285156250003,4319.0
61,19.9697265625,218.6748046875,4320.0
62,19.9697265625,218.6767578125,4329.5
63,19.9697265625,218.67871093750003,4336.0
64,19.969726562500004,218.6806640625,4340.0
65,19.969726562500004,218.68261718750003,4344.5
66,19.9697265625,218.68457031250003,4354.5
67,19.969726562500004,218.6865234375,4364.5
68,19.9697265625,218.6884765625,4371.5
69,19.969726562500004,218.6904296875,4377.0
70,19.969726562500004,218.6923828125,4383.5
71,19.9697265625,218.6943359375,4392.0
72,19.969726562500004,218.6962890625,4402.5
73,19.9697265625,218.6982421875,4405.5
74,19.9697265625,218.7001953125,4417.0
75,19.9697265625,218.7021484375,4420.5
76,19.9697265625,218.70410156250003,4432.0
77,19.969726562500004,218.7060546875,4437.5
78,19.969726562500004,218.7080078125,4438.5
79,19.9697265625,218.7099609375,4441.5
80,19.969726562500004,218.7119140625,4445.0
81,19.969726562500004,218.7138671875,4449.0
82,19.9697265625,218.7158203125,4454.5
83,19.9697265625,218.71777343750003,4459.5
84,19.9697265625,218.7197265625,4463.0
85,19.9697265625,218.7216796875,4470.5
86,19.9697265625,218.7236328125,4470.5
87,19.969726562500004,218.7255859375,4475.0
88,19.9697265625,218.7275390625,4486.0
89,19.969726562500004,218.72949218750003,4488.0
