OID,Latitude (N),Longitude (E),Blended LRO/LOLA and SELENE/Kaguya DEM
1,25.936523437499996,116.44824218750003,323.5
2,25.936523437500004,116.45019531249997,323.5
3,25.936523437499996,116.45214843749997,323.0
4,25.936523437499996,116.45410156250003,321.5
5,25.936523437499996,116.4560546875,317.5
6,25.936523437499996,116.45800781249997,317.5
7,25.936523437499996,116.4599609375,312.5
8,25.936523437499996,116.4619140625,312.0
9,25.936523437499996,116.4638671875,306.0
10,25.936523437499996,116.46582031250003,304.5
11,25.936523437499996,116.4677734375,300.0
12,25.936523437499996,116.4697265625,294.0
13,25.936523437499996,116.47167968749997,290.0
14,25.936523437499996,116.47363281250003,283.5
15,25.936523437499996,116.47558593750003,276.5
16,25.936523437499996,116.47753906249997,270.0
17,25.936523437499996,116.4794921875,265.5
18,25.936523437499996,116.4814453125,262.0
19,25.936523437499996,116.4833984375,259.5
20,25.936523437499996,116.48535156250003,254.0
21,25.936523437499996,116.4873046875,243.0
22,25.936523437499996,116.4892578125,228.0
23,25.936523437500004,116.4912109375,233.0
24,25.936523437500004,116.49316406250003,244.5
25,25.936523437499996,116.49511718749997,254.5
26,25.936523437500004,116.49707031249997,253.5
27,25.936523437499996,116.4990234375,247.0
28,25.934570312500004,116.44824218750003,322.0
29,25.934570312500004,116.45019531249997,321.5
30,25.934570312500004,116.45214843749997,321.0
31,25.934570312500004,116.45410156250003,319.5
32,25.934570312500004,116.4560546875,314.5
33,25.934570312500004,116.45800781249997,313.5
34,25.934570312500004,116.4599609375,310.5
35,25.934570312500004,116.4619140625,310.0
36,25.934570312500004,116.4638671875,303.5
37,25.934570312500004,116.46582031250003,301.0
38,25.934570312500004,116.4677734375,299.0
39,25.934570312500004,116.4697265625,294.5
40,25.934570312500004,116.47167968749997,291.5
41,25.934570312500004,116.47363281250003,285.5
42,25.934570312500004,116.47558593750003,279.0
43,25.934570312500004,116.47753906249997,276.0
44,25.934570312500004,116.4794921875,269.5
45,25.934570312500004,116.4814453125,267.0
46,25.934570312500004,116.4833984375,263.5
47,25.934570312500004,116.48535156250003,259.5
48,25.934570312500004,116.4873046875,255.0
49,25.934570312500004,116.4892578125,249.5
50,25.934570312500004,116.4912109375,251.0
51,25.934570312500004,116.49316406250003,255.5
52,25.934570312500004,116.49511718749997,259.5
53,25.934570312500004,116.49707031249997,255.0
54,25.934570312500004,116.4990234375,249.5
55,25.9326171875,116.44824218750003,321.0
56,25.9326171875,116.45019531249997,320.0
57,25.9326171875,116.45214843749997,319.0
58,25.9326171875,116.45410156250003,318.0
59,25.9326171875,116.4560546875,314.0
60,25.9326171875,116.45800781249997,312.0
61,25.9326171875,116.4599609375,309.5
62,25.9326171875,116.4619140625,308.5
63,25.9326171875,116.4638671875,300.0
64,25.9326171875,116.46582031250003,298.0
65,25.9326171875,116.4677734375,298.0
66,25.9326171875,116.4697265625,294.0
