OID,Latitude (N),Longitude (E),LOLA 1024ppd Elevation - Numeric
1,20.49072265625,218.62255859375,4820.5
2,20.49072265625,218.62353515625,4820.0
3,20.49072265625,218.62451171875,4819.0
4,20.49072265625,218.62548828125,4818.0
5,20.49072265625,218.62646484375003,4817.5
6,20.49072265625,218.62744140625,4816.5
7,20.49072265625,218.62841796875,4815.5
8,20.49072265625,218.62939453125,4814.5
9,20.49072265625,218.63037109374997,4813.5
10,20.49072265625,218.63134765625,4812.5
11,20.49072265625,218.63232421875,4811.5
12,20.49072265625,218.63330078125,4810.5
13,20.49072265625,218.63427734375,4809.0
14,20.49072265625,218.63525390625,4808.0
15,20.49072265625,218.63623046875003,4807.0
16,20.49072265625,218.63720703125,4805.5
17,20.49072265625,218.63818359375,4804.0
18,20.49072265625,218.63916015625,4803.0
19,20.49072265625,218.64013671875003,4801.5
20,20.49072265625,218.64111328125,4800.0
21,20.49072265625,218.64208984375,4798.5
22,20.49072265625,218.64306640625,4796.5
23,20.49072265625,218.64404296875,4794.5
24,20.49072265625,218.64501953125,4792.0
25,20.49072265625,218.64599609375,4789.5
26,20.49072265625,218.64697265625,4796.5
27,20.49072265625,218.64794921875,4799.0
28,20.49072265625,218.64892578125003,4802.0
29,20.49072265625,218.64990234375,4804.5
30,20.49072265625,218.65087890625,4807.5
31,20.49072265625,218.65185546875003,4810.0
32,20.49072265625,218.65283203125,4812.5
33,20.49072265625,218.65380859375,4815.0
34,20.49072265625,218.65478515625,4817.5
35,20.49072265625,218.65576171875,4819.5
36,20.49072265625,218.65673828125,4822.0
37,20.49072265625,218.65771484375003,4824.0
38,20.49072265625,218.65869140625,4826.0
39,20.49072265625,218.65966796875,4828.0
40,20.49072265625,218.66064453125,4830.0
41,20.49072265625,218.66162109374997,4831.5
42,20.49072265625,218.66259765625,4833.0
43,20.49072265625,218.66357421875,4834.5
44,20.49072265625,218.66455078125,4835.5
45,20.49072265625,218.66552734375,4836.5
46,20.49072265625,218.66650390625,4836.5
47,20.49072265625,218.66748046875003,4836.0
48,20.49072265625,218.66845703125,4834.5
49,20.49072265625,218.66943359375,4832.0
50,20.49072265625,218.67041015625,4828.0
51,20.49072265625,218.67138671875003,4825.0
52,20.49072265625,218.67236328125,4831.5
53,20.49072265625,218.67333984375,4838.5
54,20.49072265625,218.67431640625003,4845.0
55,20.49072265625,218.67529296875,4850.0
56,20.49072265625,218.67626953125,4854.0
57,20.49072265625,218.67724609375,4857.5
58,20.49072265625,218.67822265625,4860.5
59,20.49072265625,218.67919921875,4863.0
60,20.49072265625,218.68017578125003,4865.5
61,20.49072265625,218.68115234374997,4867.5
62,20.49072265625,218.68212890625,4869.5
63,20.49072265625,218.68310546875,4871.5
64,20.49072265625,218.68408203125003,4873.5
65,20.49072265625,218.68505859375,4875.5
66,20.49072265625,218.68603515625,4877.5
67,20.49072265625,218.68701171875,4879.5
68,20.49072265625,218.68798828125,4881.5
69,20.49072265625,218.68896484375,4883.5
70,20.49072265625,218.68994140625,4885.0
71,20.49072265625,218.69091796875,4887.0
72,20.49072265625,218.69189453125,4889.0
73,20.49072265625,218.69287109374997,4891.0
74,20.49072265625,218.69384765625003,4893.0
75,20.49072265625,218.69482421875,4895.0
76,20.49072265625,218.69580078125,4897.0
77,20.49072265625,218.69677734375,4899.0
78,20.49072265625,218.69775390625,4901.0
79,20.49072265625,218.69873046875,4903.5
80,20.49072265625,218.69970703125,4906.0
81,20.49072265625,218.70068359375,4908.5
82,20.49072265625,218.70166015625,4911.0
83,20.49072265625,218.70263671875003,4913.5
84,20.49072265625,218.70361328125,4916.0
85,20.49072265625,218.70458984375,4918.5
86,20.49072265625,218.70556640625003,4920.5
87,20.49072265625,218.70654296874997,4923.5
88,20.49072265625,218.70751953125,4929.0
89,20.49072265625,218.70849609375,4932.5
90,20.49072265625,218.70947265625,4934.0
91,20.49072265625,218.71044921875,4935.0
92,20.49072265625,218.71142578125,4936.0
93,20.49072265625,218.71240234375,4937.5
94,20.49072265625,218.71337890625,4938.5
95,20.49072265625,218.71435546875,4940.0
96,20.49072265625,218.71533203125003,4941.5
97,20.49072265625,218.71630859375003,4942.5
98,20.49072265625,218.71728515625,4944.0
99,20.49072265625,218.71826171875,4945.0
100,20.49072265625,218.71923828125,4946.0
101,20.49072265625,218.72021484375,4946.5
102,20.49072265625,218.72119140625,4947.0
103,20.49072265625,218.72216796875,4947.5
104,20.49072265625,218.72314453125,4949.0
105,20.49072265625,218.72412109375,4952.0
106,20.49072265625,218.72509765625003,4956.0
107,20.49072265625,218.72607421875,4960.0
108,20.49072265625,218.72705078125,4964.0
109,20.49072265625,218.72802734375003,4967.5
110,20.49072265625,218.72900390625003,4968.5
111,20.49072265625,218.72998046875,4969.0
112,20.49072265625,218.73095703125,4969.0
113,20.49072265625,218.73193359375,4969.5
114,20.49072265625,218.73291015625,4970.0
115,20.49072265625,218.73388671875,4970.5
116,20.49072265625,218.73486328125,4971.0
117,20.49072265625,218.73583984375,4971.5
118,20.49072265625,218.73681640625,4971.5
119,20.49072265625,218.73779296875003,4971.5
120,20.49072265625,218.73876953125,4971.5
121,20.49072265625,218.73974609375,4971.0
122,20.49072265625,218.74072265625003,4970.0
123,20.49072265625,218.74169921875,4968.5
124,20.49072265625,218.74267578125,4970.5
125,20.49072265625,218.74365234375,4972.0
126,20.49072265625,218.74462890625,4973.0
127,20.489746093750007,218.62255859375,4819.5
128,20.48974609375,218.62353515625,4819.0
129,20.48974609375,218.62451171875,4818.0
130,20.489746093750007,218.62548828125,4817.0
131,20.489746093750007,218.62646484375003,4816.5
132,20.489746093750007,218.62744140625,4815.5
133,20.489746093750007,218.62841796875,4814.5
134,20.48974609375,218.62939453125003,4813.5
135,20.489746093750007,218.63037109374997,4812.5
136,20.489746093750007,218.63134765625,4811.0
137,20.489746093750007,218.63232421875,4810.0
138,20.489746093750007,218.63330078125,4809.0
139,20.48974609375,218.63427734375,4807.5
140,20.489746093750007,218.63525390625,4806.5
141,20.489746093750007,218.63623046875,4805.0
142,20.489746093750007,218.63720703125,4803.5
143,20.489746093750007,218.63818359375,4802.0
144,20.489746093750007,218.63916015625,4800.5
145,20.489746093750007,218.64013671875003,4799.0
146,20.489746093750007,218.64111328125,4797.5
147,20.48974609375,218.64208984375,4795.5
148,20.489746093750007,218.64306640625,4793.5
149,20.489746093750007,218.64404296875,4791.5
150,20.48974609375,218.64501953125,4788.5
151,20.489746093750007,218.64599609375,4784.0
152,20.489746093750007,218.64697265625,4791.0
153,20.489746093750007,218.64794921875,4796.0
154,20.489746093750007,218.64892578125003,4799.5
155,20.489746093750007,218.64990234375,4802.5
156,20.489746093750007,218.65087890625,4805.0
157,20.489746093750007,218.65185546875003,4808.0
158,20.489746093750007,218.65283203125,4810.5
159,20.48974609375,218.65380859375,4813.0
160,20.489746093750007,218.65478515625,4815.5
161,20.489746093750007,218.65576171875,4817.5
162,20.489746093750007,218.65673828125,4820.0
163,20.489746093750007,218.65771484375003,4822.0
164,20.489746093750007,218.65869140625,4824.5
165,20.489746093750007,218.65966796875,4826.5
166,20.489746093750007,218.66064453125,4828.0
167,20.48974609375,218.66162109374997,4830.0
168,20.489746093750007,218.66259765625,4831.5
169,20.489746093750007,218.66357421875,4833.0
170,20.48974609375,218.66455078125,4834.0
171,20.489746093750007,218.66552734375,4835.0
172,20.489746093750007,218.66650390625,4835.5
173,20.489746093750007,218.66748046875,4835.0
174,20.489746093750007,218.66845703125,4833.5
175,20.489746093750007,218.66943359375,4831.0
176,20.48974609375,218.67041015625,4828.0
177,20.489746093750007,218.67138671875003,4826.5
178,20.489746093750007,218.67236328125,4831.5
179,20.48974609375,218.67333984375,4838.0
180,20.489746093750007,218.67431640625003,4844.0
181,20.489746093750007,218.67529296875,4849.0
182,20.48974609375,218.67626953125,4853.0
183,20.489746093750007,218.67724609375,4856.5
184,20.48974609375,218.67822265625,4859.5
185,20.489746093750007,218.67919921875,4862.0
186,20.489746093750007,218.68017578125003,4864.0
187,20.489746093750007,218.68115234375,4866.5
188,20.489746093750007,218.68212890625,4868.5
189,20.489746093750007,218.68310546875003,4870.5
190,20.48974609375,218.68408203124997,4872.5
191,20.489746093750007,218.68505859375,4874.5
192,20.489746093750007,218.68603515625,4876.5
193,20.489746093750007,218.68701171875,4878.5
194,20.489746093750007,218.68798828125,4880.0
195,20.48974609375,218.68896484375,4882.0
196,20.48974609375,218.68994140625,4884.0
197,20.48974609375,218.69091796875,4886.0
198,20.48974609375,218.69189453125,4887.5
199,20.489746093750007,218.69287109374997,4889.5
200,20.489746093750007,218.69384765625003,4891.5
201,20.489746093750007,218.69482421875,4893.5
202,20.48974609375,218.69580078125,4895.5
203,20.48974609375,218.69677734375,4897.5
204,20.48974609375,218.69775390625,4899.5
205,20.489746093750007,218.69873046875,4902.0
206,20.48974609375,218.69970703125,4904.0
207,20.48974609375,218.70068359375,4906.5
208,20.489746093750007,218.70166015625,4909.0
209,20.489746093750007,218.70263671875003,4911.5
210,20.48974609375,218.70361328125,4914.0
211,20.489746093750007,218.70458984375,4917.0
212,20.48974609375,218.70556640625003,4920.5
213,20.48974609375,218.70654296874997,4925.0
214,20.48974609375,218.70751953125,4929.5
215,20.489746093750007,218.70849609375,4933.5
216,20.48974609375,218.70947265625,4935.0
217,20.48974609375,218.71044921875,4936.0
218,20.48974609375,218.71142578125,4937.0
219,20.48974609375,218.71240234375,4938.0
220,20.489746093750007,218.71337890625,4939.0
221,20.489746093750007,218.71435546875,4940.0
222,20.48974609375,218.71533203124997,4941.5
223,20.489746093750007,218.71630859375003,4943.0
224,20.48974609375,218.71728515625,4944.0
225,20.489746093750007,218.71826171875003,4945.5
226,20.489746093750007,218.71923828125,4946.5
227,20.489746093750007,218.72021484375003,4947.5
228,20.489746093750007,218.72119140625,4948.0
229,20.48974609375,218.72216796875,4948.5
230,20.48974609375,218.72314453125,4949.5
231,20.489746093750007,218.72412109375,4953.0
232,20.489746093750007,218.72509765625003,4957.0
233,20.489746093750007,218.72607421875,4960.5
234,20.489746093750007,218.72705078125,4964.0
235,20.489746093750007,218.72802734375,4967.0
236,20.48974609375,218.72900390624997,4968.0
237,20.48974609375,218.72998046875,4968.5
238,20.48974609375,218.73095703125,4969.0
239,20.489746093750007,218.73193359375,4969.5
240,20.489746093750007,218.73291015625,4970.0
241,20.489746093750007,218.73388671875,4970.5
242,20.48974609375,218.73486328125,4971.0
243,20.489746093750007,218.73583984375,4971.5
244,20.48974609375,218.73681640625,4972.0
245,20.489746093750007,218.73779296874997,4972.0
246,20.489746093750007,218.73876953125,4972.0
247,20.489746093750007,218.73974609375,4971.5
248,20.489746093750007,218.74072265625003,4971.5
249,20.489746093750007,218.74169921875,4971.5
250,20.48974609375,218.74267578125,4972.0
251,20.489746093750007,218.74365234375,4972.5
252,20.48974609375,218.74462890625,4973.0
253,20.488769531250004,218.62255859375,4819.0
254,20.488769531250004,218.62353515625,4818.0
255,20.488769531250004,218.62451171875,4817.0
256,20.488769531250004,218.62548828125,4816.0
257,20.488769531250004,218.62646484375003,4815.5
258,20.488769531250004,218.62744140625,4814.5
259,20.488769531250004,218.62841796875,4813.0
260,20.488769531250004,218.62939453125,4812.0
261,20.488769531250004,218.63037109374997,4811.0
262,20.488769531250004,218.63134765625,4810.0
263,20.488769531250004,218.63232421875,4808.5
264,20.488769531250004,218.63330078125,4807.5
265,20.488769531250004,218.63427734375,4806.0
266,20.488769531250004,218.63525390625,4804.5
267,20.488769531250004,218.63623046875003,4803.0
268,20.488769531250004,218.63720703125,4802.0
269,20.488769531250004,218.63818359375,4800.5
270,20.488769531250004,218.63916015625,4798.5
271,20.488769531250004,218.64013671875003,4797.0
272,20.488769531250004,218.64111328125,4795.0
273,20.488769531250004,218.64208984375,4793.5
274,20.488769531250004,218.64306640625,4791.5
275,20.488769531250004,218.64404296875,4789.5
276,20.488769531250004,218.64501953125,4788.5
277,20.488769531250004,218.64599609375,4790.0
278,20.488769531250004,218.64697265625,4792.0
279,20.488769531250004,218.64794921875,4794.5
280,20.488769531250004,218.64892578125003,4797.5
281,20.488769531250004,218.64990234375,4800.0
282,20.488769531250004,218.65087890625,4803.0
283,20.488769531250004,218.65185546875003,4806.0
284,20.488769531250004,218.65283203125,4808.5
285,20.488769531250004,218.65380859375,4811.0
286,20.488769531250004,218.65478515625,4813.5
287,20.488769531250004,218.65576171875,4816.0
288,20.488769531250004,218.65673828125,4818.5
289,20.488769531250004,218.65771484375,4820.5
290,20.488769531250004,218.65869140625,4822.5
291,20.488769531250004,218.65966796875,4825.0
292,20.488769531250004,218.66064453125,4827.0
293,20.488769531250004,218.66162109374997,4828.5
294,20.488769531250004,218.66259765625,4830.5
295,20.488769531250004,218.66357421875,4832.0
296,20.488769531250004,218.66455078125,4833.5
297,20.488769531250004,218.66552734375,4834.5
298,20.488769531250004,218.66650390625,4835.0
299,20.488769531250004,218.66748046875,4835.0
300,20.488769531250004,218.66845703125,4834.5
301,20.488769531250004,218.66943359375,4833.0
302,20.488769531250004,218.67041015625,4830.5
303,20.488769531250004,218.67138671875003,4829.0
304,20.488769531250004,218.67236328125,4834.5
305,20.488769531250004,218.67333984375,4840.0
306,20.488769531250004,218.67431640625003,4845.0
307,20.488769531250004,218.67529296875,4849.5
308,20.488769531250004,218.67626953125,4853.0
309,20.488769531250004,218.67724609375,4856.0
310,20.488769531250004,218.67822265625,4858.5
311,20.488769531250004,218.67919921875,4861.0
312,20.488769531250004,218.68017578125003,4863.5
313,20.488769531250004,218.68115234375,4865.5
314,20.488769531250004,218.68212890625,4867.5
315,20.488769531250004,218.68310546875003,4869.5
316,20.488769531250004,218.68408203125003,4871.5
